team,H,A,GT
Chelsea,31.76,25.66,57.42
Man City,29.63,25.54,55.17
Man Utd,28.89,22.74,51.63
Arsenal,26.45,22.33,48.78
Liverpool,26.25,21.11,47.36
Southampton,24.55,16.96,41.51
Spurs,24.79,15.89,40.68
Everton,23.12,16.6,39.72
Swansea,22.76,11.93,34.69
WestHam,19.12,13.32,32.44
Stoke,17.79,13.78,31.57
West Brom,18.17,12.47,30.64
Newcastle,17.42,13.18,30.6
Hull,18.15,10.52,28.67
CPalace,17.09,11.13,28.22
Sunderland,16.65,11.31,27.96
Leicester,15.55,12.25,27.8
QPR,16.74,9.33,26.07
Villa,14.81,11.13,25.94
Burnley,15.89,9.6,25.49
